,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6
2017-01-01,0.7569355567968079,-1.4677901076361828,0.096135669282146,-0.11530572588619266,-0.447907632669737,0.9025785248554161
2017-01-02,0.7670889113734136,0.18579715404456773,-1.428536116018819,-0.08644346526409857,-0.9542884091642027,1.9309086692599977
2017-01-03,0.40454413007539075,1.4158870566681971,0.4434661238193174,0.0001996460883689394,-0.8923509269390812,2.4496905248205474
2017-01-04,1.313956505866448,-1.804470682047516,-0.8369856161529503,0.011785044037000885,-1.0125176306585582,1.1820847858751218
2017-01-05,0.2098619814176409,1.3158676012177635,0.14099310851995978,-0.04647280555126181,-1.41709231427775,1.7424332231596438
2017-01-06,-0.6717674923457064,-1.5547420789274211,2.933988325310612,0.007890951764332691,-0.6722576116139889,0.5628300607103187
2017-01-07,-0.9594957660392749,3.0235711065902757,-0.856280299536998,-0.001143689449024855,-1.229958462132178,-0.18713762270143675
2017-01-08,-0.19130648688729746,-3.130415231333269,-0.2563845555986778,0.07829302125335655,-0.7258072798947177,0.7855168701232836
2017-01-09,-0.3773505744167874,-2.506433571320869,-0.2916619351696885,-0.03213034190605727,-0.7688630328834016,-1.657719081521421
2017-01-10,1.0919966038584201,1.0062350260727726,3.540324994300049,0.012691575178789131,-0.6624327840186913,0.08890683292500368
2017-01-11,2.049563447870084,0.5684366937910439,-0.4847990396262805,-0.04493087458243848,-0.8224252922358599,-0.025640409993894275
2017-01-12,0.4625829119916259,1.1478583651094427,-1.1560875610642054,0.07342733864090067,-1.2295210737631912,1.0951742316339081
2017-01-13,1.2194546982037715,0.5603005353983032,1.106975988437109,-0.010493226267077197,-1.2288153475573238,1.3283349196597385
2017-01-14,-0.19457281953165,-1.205221035141221,0.6451924304881554,-0.08071149916616688,-0.8402330313701022,0.42094052307178775
2017-01-15,-1.4611095635642117,-1.888492712754012,1.8940356481871667,-0.1499025728090601,-1.0766100413657376,1.2597103584623262
2017-01-16,-1.443445966583556,-1.184837832418936,0.051617413179585056,-0.11270169639248073,-1.0653003567866242,1.6148918997308321
2017-01-17,-0.11788684053736978,1.6403448929770763,-0.055789281433524726,-0.0775178419680909,-0.8885429258448992,3.278587331443587
2017-01-18,1.0446934369295733,3.5779182974128823,0.7252290945144712,-0.032566392554283126,-1.1444794165335812,0.8211434233140341
2017-01-19,0.06826986095545878,0.38525998999560823,-0.047567574468311835,-0.0481921639610263,-1.237186237117239,1.1368327121851567
